timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726031798013,3953,Register Request,200,,Books API authentication thread 1-2,text,true,,699,286,50,50,http://localhost:8080/auth/signup,3953,0,0
1726031797995,4011,Register Request,403,,Books API authentication thread 1-1,,false,,291,286,49,49,http://localhost:8080/auth/signup,4011,0,14
1726031798497,3510,Register Request,403,,Books API authentication thread 1-23,,false,,291,286,48,48,http://localhost:8080/auth/signup,3510,0,23
1726031798596,3411,Register Request,403,,Books API authentication thread 1-31,,false,,291,286,48,48,http://localhost:8080/auth/signup,3411,0,1
1726031798572,3533,Register Request,403,,Books API authentication thread 1-29,,false,,291,286,46,46,http://localhost:8080/auth/signup,3533,0,9
1726031798078,4027,Register Request,403,,Books API authentication thread 1-5,,false,,291,286,46,46,http://localhost:8080/auth/signup,4027,0,1
1726031798099,4019,Register Request,403,,Books API authentication thread 1-6,,false,,291,286,44,44,http://localhost:8080/auth/signup,4019,0,11
1726031798619,3625,Register Request,403,,Books API authentication thread 1-32,,false,,291,286,43,43,http://localhost:8080/auth/signup,3625,0,2
1726031798037,4421,Register Request,403,,Books API authentication thread 1-3,,false,,291,286,42,42,http://localhost:8080/auth/signup,4421,0,2
1726031798219,4282,Register Request,403,,Books API authentication thread 1-11,,false,,291,286,41,41,http://localhost:8080/auth/signup,4282,0,19
1726031798237,4266,Register Request,403,,Books API authentication thread 1-12,,false,,291,286,40,40,http://localhost:8080/auth/signup,4266,0,33
1726031798246,4267,Register Request,403,,Books API authentication thread 1-13,,false,,291,286,39,39,http://localhost:8080/auth/signup,4267,0,2
1726031798152,4365,Register Request,403,,Books API authentication thread 1-8,,false,,291,286,38,38,http://localhost:8080/auth/signup,4365,0,8
1726031798585,3936,Register Request,403,,Books API authentication thread 1-30,,false,,291,286,37,37,http://localhost:8080/auth/signup,3936,0,1
1726031798514,4009,Register Request,403,,Books API authentication thread 1-25,,false,,291,286,36,36,http://localhost:8080/auth/signup,4009,0,7
1726031798117,4414,Register Request,403,,Books API authentication thread 1-7,,false,,291,286,35,35,http://localhost:8080/auth/signup,4414,0,2
1726031798198,4335,Register Request,403,,Books API authentication thread 1-10,,false,,291,286,34,34,http://localhost:8080/auth/signup,4335,0,66
1726031798366,4186,Register Request,403,,Books API authentication thread 1-19,,false,,291,286,33,33,http://localhost:8080/auth/signup,4186,0,19
1726031798638,3921,Register Request,403,,Books API authentication thread 1-33,,false,,291,286,32,32,http://localhost:8080/auth/signup,3921,0,1
1726031798077,4482,Register Request,403,,Books API authentication thread 1-4,,false,,291,286,32,32,http://localhost:8080/auth/signup,4482,0,4
1726031798175,4404,Register Request,403,,Books API authentication thread 1-9,,false,,291,286,30,30,http://localhost:8080/auth/signup,4404,0,24
1726031798830,3750,Register Request,403,,Books API authentication thread 1-42,,false,,291,286,30,30,http://localhost:8080/auth/signup,3750,0,5
1726031798400,4185,Register Request,403,,Books API authentication thread 1-21,,false,,291,286,28,28,http://localhost:8080/auth/signup,4185,0,9
1726031798425,4171,Register Request,403,,Books API authentication thread 1-22,,false,,291,286,27,27,http://localhost:8080/auth/signup,4171,0,2
1726031798343,4255,Register Request,403,,Books API authentication thread 1-18,,false,,291,286,26,26,http://localhost:8080/auth/signup,4255,0,1
1726031798298,4307,Register Request,403,,Books API authentication thread 1-15,,false,,291,286,25,25,http://localhost:8080/auth/signup,4307,0,20
1726031798689,3917,Register Request,403,,Books API authentication thread 1-35,,false,,291,286,24,24,http://localhost:8080/auth/signup,3917,0,25
1726031798274,4349,Register Request,403,,Books API authentication thread 1-14,,false,,291,286,23,23,http://localhost:8080/auth/signup,4349,0,2
1726031798504,4121,Register Request,403,,Books API authentication thread 1-26,,false,,291,286,22,22,http://localhost:8080/auth/signup,4121,0,17
1726031798331,4314,Register Request,403,,Books API authentication thread 1-17,,false,,291,286,21,21,http://localhost:8080/auth/signup,4314,0,2
1726031798795,3850,Register Request,403,,Books API authentication thread 1-38,,false,,291,286,21,21,http://localhost:8080/auth/signup,3850,0,28
1726031798385,4269,Register Request,403,,Books API authentication thread 1-20,,false,,291,286,19,19,http://localhost:8080/auth/signup,4269,0,14
1726031798515,4432,Register Request,403,,Books API authentication thread 1-24,,false,,291,286,18,18,http://localhost:8080/auth/signup,4432,0,8
1726031798318,4624,Register Request,403,,Books API authentication thread 1-16,,false,,291,286,18,18,http://localhost:8080/auth/signup,4624,0,13
